# [# edges]        [bound_open]    [bound_closed]
68123    13      13
299855   15      15
40541    12      12
73762    13      13
31180    12      12
151434   14      14
75004    13      13
11095298         20      20
26013    12      12
147892   14      14
1090108          16      16
6649470          19      19
118489   14      14
1049866          16      16
405740   15      15
88234    13      13
1342296          17      17
2315222          17      17
1343951          17      17
1631574          17      17
2902525          18      18
54841    13      13
